,登録名,チーム2018,奪三振2018,奪三振2017,奪三振2016,奪三振2015,奪三振2014,奪三振2013,奪三振2012,奪三振2011,奪三振2010,奪三振2009,総奪三振数,総奪三振率,総投球回
794,石井　弘寿,,,,,,,,,1.0,,,1.0,10.0,0.1
291,伊藤　剛,,,,,,,,,,,1.0,1.0,10.0,0.1
886,浜田　智博,,,,,2.0,,,,,,,2.0,10.0,0.2
78,坂寄　晴一,,,,,1.0,,,,,,,1.0,5.0,0.2
385,鈴木　優,,,,3.0,0.0,,,,,,,3.0,2.4999999999999996,1.2000000000000002
604,デラバー,,,,4.0,,,,,,,,4.0,2.0,2.0
806,キャンデラリオ,,,6.0,,,,,,,,,6.0,2.0,3.0
331,中塚　駿太,西武,4.0,0.0,,,,,,,,,4.0,1.8181818181818181,2.2
83,髙橋　純平,,,5.0,,,,,,,,,5.0,1.6666666666666667,3.0
389,土本　恭平,,,,,,,,,,5.0,,5.0,1.5625,3.2
192,モリーヨ,,,,,,,,,,9.0,,9.0,1.4516129032258065,6.2
520,陳　冠宇,,,,,,3.0,,,,,,3.0,1.4285714285714286,2.1
214,相原　勝幸,,,,,,,,,,3.0,,3.0,1.4285714285714286,2.1
4,花田　真人,,,,,,,,,,,3.0,3.0,1.4285714285714286,2.1
568,ボーグルソン,,,,,,,,,,,56.0,56.0,1.3592233009708736,41.2
213,牛田　成樹,,,,,,,,10.0,61.0,69.0,10.0,150.0,1.3501350135013501,111.1
30,藤井　皓哉,広島,14.0,1.0,,,,,,,,,15.0,1.3392857142857144,11.2
401,國場　翼,,,,4.0,,,,,,,,4.0,1.3333333333333333,3.0
464,サファテ,ソフトバンク,9.0,102.0,73.0,102.0,96.0,66.0,44.0,82.0,,,574.0,1.3256351039260972,432.99999999999994
421,フランスア,広島,71.0,,,,,,,,,,71.0,1.3099630996309963,54.2
523,ファルケンボーグ,,,,,,45.0,49.0,26.0,79.0,83.0,62.0,344.0,1.308980213089802,262.8
14,藤川　球児,阪神,52.0,71.0,70.0,,,,58.0,80.0,81.0,86.0,498.0,1.3067436368407244,381.09999999999997
324,クルーン,,,,,,,,,,73.0,57.0,130.0,1.2974051896207583,100.2
95,鍬原　拓也,巨人,35.0,,,,,,,,,,35.0,1.286764705882353,27.2
156,ミゲル・メヒア,,,,,4.0,,,,,,,4.0,1.25,3.2
513,松井　裕樹,楽天,65.0,62.0,75.0,103.0,126.0,,,,,,431.0,1.215454032712916,354.6
877,ライブリー,,,,,22.0,,,,,,,22.0,1.208791208791209,18.2
20,パヤノ,,,,,,26.0,,,,,39.0,65.0,1.1992619926199262,54.2
535,水野　滉也,,,5.0,,,,,,,,,5.0,1.1904761904761905,4.2
295,玉置　隆,,,,,4.0,8.0,10.0,,,,,22.0,1.1891891891891893,18.5
382,佐藤　達也,,,12.0,53.0,77.0,85.0,88.0,23.0,,,,338.0,1.1880492091388402,284.5
564,サンチェス,,,,,,,,,19.0,,,19.0,1.1801242236024843,16.1
325,スアレス,ソフトバンク,7.0,,64.0,,,,,,,,71.0,1.1794019933554816,60.2
756,モイネロ,ソフトバンク,47.0,36.0,,,,,,,,,83.0,1.1789772727272727,70.4
151,山崎　康晃,,,,,66.0,,,,,,,66.0,1.1764705882352942,56.1
